ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Neu5Ac,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N52,N78
31-2-0,13272.6917,0.0,0,99.45,2,13272.6994,-0.0077,-1,9,8,0,0,0,1,0,0,55.22,A2G2,A2G1
31-1-0,13272.6917,0.0,1,0.55,1,13272.6994,-0.0077,-1,8,8,0,1,1,1,0,0,0.55,A2G0F,A2G2
32-8-0,13277.6883,0.1,0,83.72,2,13277.6623,0.0259,2,11,5,1,0,0,0,0,0,63.47,M5,M5-A1S1
32-8-1,13277.6883,0.1,1,16.28,2,13277.6623,0.0259,2,11,5,1,0,0,0,0,0,11.95,A1S1,M7
33-0-0,13279.7017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34-8-0,13286.7344,0.1,0,90.97,1,13286.6786,0.0558,4,8,6,2,0,0,1,0,0,90.97,A1S1,A1S1
34-7-0,13286.7344,0.1,1,8.58,1,13286.6786,0.0558,4,7,6,2,1,1,1,0,0,8.58,unmodified,A3S2G1F+LacN1
34-10-0,13286.7344,0.1,2,0.45,1,13286.6409,0.0935,7,14,4,0,0,1,1,0,0,0.45,M7,M7
35-0-0,13289.6904,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36-9-0,13294.7216,0.0,0,83.72,2,13294.6572,0.0643,5,11,5,1,0,1,1,0,0,63.47,M5,M5-A1S1
36-9-1,13294.7216,0.0,1,16.28,2,13294.6572,0.0643,5,11,5,1,0,1,1,0,0,11.95,A1S1,M7
37-0-0,13296.7240,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38-9-0,13302.7231,0.0,0,90.97,1,13302.6736,0.0495,4,8,6,2,0,1,1,0,0,90.97,A1S1,A1S1
38-8-0,13302.7231,0.0,1,8.58,1,13302.6736,0.0495,4,7,6,2,1,2,1,0,0,8.58,unmodified,A3S2G1F+LacN1
38-11-0,13302.7231,0.0,2,0.45,1,13302.6358,0.0873,7,14,4,0,0,2,1,0,0,0.45,M7,M7
39-0-0,13306.7487,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-0-0,13308.6859,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41-8-0,13318.7165,1.1,0,95.09,2,13318.6889,0.0276,2,10,6,1,0,0,0,0,0,86.86,M5,A2S1G1
41-8-1,13318.7165,1.1,1,2.04,2,13318.6889,0.0276,2,10,6,1,0,0,0,0,0,1.25,A1G1,M5-A1S1
41-9-0,13318.7165,1.1,2,1.65,1,13318.6685,0.0480,4,8,6,2,0,2,1,0,0,1.65,A1S1,A1S1
41-8-2,13318.7165,1.1,3,1.03,2,13318.6889,0.0276,2,10,6,1,0,0,0,0,0,0.81,M5-A1G1,A1S1
41-8-3,13318.7165,1.1,4,0.19,2,13318.6889,0.0276,2,10,6,1,0,0,0,0,0,0.15,M6,A2S1G0
42-0-0,13321.6897,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43-9-0,13326.7316,0.0,0,100.00,2,13326.6675,0.0641,5,13,5,0,0,1,0,0,0,91.00,M5-A1G1,M7
44-0-0,13333.7246,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-9-0,13335.7275,0.1,0,96.60,2,13335.6838,0.0437,3,10,6,1,0,1,1,0,0,88.23,M5,A2S1G1
45-9-1,13335.7275,0.1,1,2.07,2,13335.6838,0.0437,3,10,6,1,0,1,1,0,0,1.27,A1G1,M5-A1S1
45-9-2,13335.7275,0.1,2,1.04,2,13335.6838,0.0437,3,10,6,1,0,1,1,0,0,0.82,M5-A1G1,A1S1
45-9-3,13335.7275,0.1,3,0.19,2,13335.6838,0.0437,3,10,6,1,0,1,1,0,0,0.15,M6,A2S1G0
45-7-0,13335.7275,0.1,4,0.09,2,13335.7042,0.0233,2,11,6,0,1,0,0,0,0,0.06,A2G2F,M6
46-0-0,13340.7021,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47-3-0,13343.6893,0.0,0,100.00,2,13343.6624,0.0269,2,13,5,0,0,2,1,0,0,91.00,M5-A1G1,M7
48-0-0,13353.7525,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49-8-0,13359.7960,1.5,0,79.51,2,13359.7154,0.0806,6,9,7,1,0,0,0,0,0,66.93,A1G1,A2S1G1
49-8-1,13359.7960,1.5,1,20.49,2,13359.7154,0.0806,6,9,7,1,0,0,0,0,0,10.62,A2G2,A1S1
50-0-0,13364.7236,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51-0-0,13373.7564,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52-0-0,13377.7344,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53-0-0,13379.7986,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54-8-0,13391.7483,0.1,0,79.51,2,13391.7053,0.0430,3,9,7,1,0,2,0,0,0,66.93,A1G1,A2S1G1
54-8-1,13391.7483,0.1,1,20.49,2,13391.7053,0.0430,3,9,7,1,0,2,0,0,0,10.62,A2G2,A1S1
55-0-0,13394.8265,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56-0-0,13398.7306,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57-0-0,13399.7452,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58-1-0,13402.7546,0.2,0,100.00,1,13402.7624,-0.0078,-1,8,8,0,2,0,1,0,0,100.00,A2G0F,A2G2F
59-0-0,13404.7295,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-0-0,13405.7414,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61-4-0,13416.7094,0.0,0,99.19,2,13416.7369,-0.0275,-2,8,8,1,0,1,0,0,0,65.51,A2G1,A2S1G0
61-3-0,13416.7094,0.0,1,0.81,1,13416.7369,-0.0275,-2,7,8,1,1,2,0,0,0,0.81,A2G0F,A2S1G0
62-9-0,13417.8024,0.1,0,60.05,2,13417.7369,0.0655,5,8,8,1,0,1,1,0,0,39.66,A2G1,A2S1G0
62-7-0,13417.8024,0.1,1,39.35,2,13417.7573,0.0451,3,9,8,0,1,0,0,0,0,30.45,A2G2F,A2G1
62-8-0,13417.8024,0.1,2,0.49,1,13417.7369,0.0655,5,7,8,1,1,2,1,0,0,0.49,A2G0F,A2S1G0
62-5-0,13417.8024,0.1,3,0.11,1,13417.7573,0.0451,3,8,8,0,2,1,0,0,0,0.11,A2G0F,A2G2F
63-8-0,13424.7439,0.0,0,91.45,2,13424.7155,0.0284,2,11,7,0,0,2,0,0,0,70.70,M5-A1G1,A2G2
63-8-1,13424.7439,0.0,1,8.55,2,13424.7155,0.0284,2,11,7,0,0,2,0,0,0,7.57,M5,A3G3
64-5-0,13433.7624,4.2,0,97.66,1,13433.7522,0.0102,1,10,8,0,0,0,0,0,0,97.66,A2G2,A2G2
64-9-0,13433.7624,4.2,1,0.95,2,13433.7318,0.0306,2,8,8,1,0,2,1,0,0,0.63,A2G1,A2S1G0
64-5-1,13433.7624,4.2,2,0.77,2,13433.7522,0.0102,1,10,8,0,0,0,0,0,0,0.61,A1G1,A3G3
64-4-0,13433.7624,4.2,3,0.62,2,13433.7522,0.0102,1,9,8,0,1,1,0,0,0,0.48,A2G2F,A2G1
64-3-0,13433.7624,4.2,4,0.00,1,13433.7522,0.0102,1,8,8,0,2,2,0,0,0,0.00,A2G0F,A2G2F
65-9-0,13440.7598,0.4,0,100.00,2,13440.7151,0.0446,3,12,5,1,0,0,1,0,0,63.36,M6,M5-A1S1
66-0-0,13447.8085,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67-8-0,13449.7932,0.4,0,98.60,1,13449.7471,0.0461,3,10,8,0,0,1,0,0,0,98.60,A2G2,A2G2
67-8-1,13449.7932,0.4,1,0.78,2,13449.7471,0.0461,3,10,8,0,0,1,0,0,0,0.62,A1G1,A3G3
67-7-0,13449.7932,0.4,2,0.63,2,13449.7471,0.0461,3,9,8,0,1,2,0,0,0,0.49,A2G2F,A2G1
68-1-0,13450.7548,0.2,0,98.60,1,13450.7471,0.0077,1,10,8,0,0,1,1,0,0,98.60,A2G2,A2G2
68-1-1,13450.7548,0.2,1,0.78,2,13450.7471,0.0077,1,10,8,0,0,1,1,0,0,0.62,A1G1,A3G3
68-0-0,13450.7548,0.2,2,0.63,2,13450.7471,0.0077,1,9,8,0,1,2,1,0,0,0.49,A2G2F,A2G1
69-0-0,13454.7840,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-0-0,13457.7581,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71-0-0,13462.7817,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72-4-0,13465.7557,0.1,0,98.53,1,13465.7420,0.0137,1,10,8,0,0,2,0,0,0,98.53,A2G2,A2G2
72-4-1,13465.7557,0.1,1,0.78,2,13465.7420,0.0137,1,10,8,0,0,2,0,0,0,0.62,A1G1,A3G3
72-2-0,13465.7557,0.1,2,0.69,2,13465.7468,0.0090,1,10,6,1,1,0,1,0,0,0.47,M5,A2S1G1F
73-0-0,13470.7976,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74-11-0,13472.8248,0.1,0,100.00,2,13472.7050,0.1198,9,12,5,1,0,2,1,0,0,63.36,M6,M5-A1S1
75-8-0,13480.7716,0.6,0,90.44,2,13480.7417,0.0299,2,11,6,1,0,0,0,0,0,77.17,M6,A2S1G1
75-6-0,13480.7716,0.6,1,8.60,2,13480.7417,0.0299,2,10,6,1,1,1,0,0,0,5.87,M5,A2S1G1F
75-8-1,13480.7716,0.6,2,0.97,2,13480.7417,0.0299,2,11,6,1,0,0,0,0,0,0.53,A2S1G0,M7
76-0-0,13484.7859,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77-0-0,13487.7476,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78-0-0,13491.7570,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-0-0,13493.7592,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-0-0,13495.7394,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81-0-0,13501.7741,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82-2-0,13505.7424,0.1,0,39.30,2,13505.7529,-0.0105,-1,8,7,2,0,1,1,0,0,27.24,A1S1,A2S1G0
82-6-0,13505.7424,0.1,1,36.36,2,13505.7733,-0.0309,-2,9,7,1,1,0,0,0,0,18.95,A1G1,A2S1G1F
82-6-1,13505.7424,0.1,2,24.13,2,13505.7733,-0.0309,-2,9,7,1,1,0,0,0,0,18.01,A2G2F,A1S1
82-6-2,13505.7424,0.1,3,0.21,1,13505.7733,-0.0309,-2,9,7,1,1,0,0,0,0,0.21,A2G0F,M5-A1S1
83-9-0,13505.7877,0.1,0,39.30,2,13505.7529,0.0348,3,8,7,2,0,1,1,0,0,27.24,A1S1,A2S1G0
83-5-0,13505.7877,0.1,1,36.36,2,13505.7733,0.0144,1,9,7,1,1,0,0,0,0,18.95,A1G1,A2S1G1F
83-5-1,13505.7877,0.1,2,24.13,2,13505.7733,0.0144,1,9,7,1,1,0,0,0,0,18.01,A2G2F,A1S1
83-5-2,13505.7877,0.1,3,0.21,1,13505.7733,0.0144,1,9,7,1,1,0,0,0,0,0.21,A2G0F,M5-A1S1
84-0-0,13509.7729,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85-0-0,13511.7532,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86-9-0,13521.7897,2.8,0,26.16,2,13521.7478,0.0419,3,8,7,2,0,2,1,0,0,18.14,A1S1,A2S1G0
86-7-0,13521.7897,2.8,1,24.20,2,13521.7682,0.0215,2,9,7,1,1,1,0,0,0,12.61,A1G1,A2S1G1F
86-8-0,13521.7897,2.8,2,23.51,2,13521.7682,0.0215,2,10,7,1,0,0,0,0,0,12.25,M5-A1S1,A2G1
86-7-1,13521.7897,2.8,3,16.06,2,13521.7682,0.0215,2,9,7,1,1,1,0,0,0,11.99,A2G2F,A1S1
86-8-1,13521.7897,2.8,4,9.93,2,13521.7682,0.0215,2,10,7,1,0,0,0,0,0,8.85,M5-A1G1,A2S1G0
86-7-2,13521.7897,2.8,5,0.14,1,13521.7682,0.0215,2,9,7,1,1,1,0,0,0,0.14,A2G0F,M5-A1S1
87-7-0,13529.7777,0.2,0,100.00,2,13529.7468,0.0309,2,12,6,0,1,2,0,0,0,89.05,A2G2F,M7
88-0-0,13535.7977,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89-6-0,13539.8330,0.3,0,100.00,2,13539.7836,0.0494,4,11,7,0,1,0,1,0,0,55.43,M5-A1G1,A2G2F
90-0-0,13544.7932,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91-5-0,13546.7714,0.0,0,100.00,1,13546.7999,-0.0285,-2,8,8,1,1,0,0,0,0,100.00,A2G0F,A2S1G1
92-2-0,13546.7977,0.0,0,100.00,1,13546.7999,-0.0022,-0,8,8,1,1,0,0,0,0,100.00,A2G0F,A2S1G1
93-9-0,13554.7976,0.7,0,60.91,2,13554.7581,0.0395,3,10,7,1,0,2,1,0,0,31.73,M5-A1S1,A2G1
93-9-1,13554.7976,0.7,1,25.71,2,13554.7581,0.0395,3,10,7,1,0,2,1,0,0,22.94,M5-A1G1,A2S1G0
93-6-0,13554.7976,0.7,2,9.29,2,13554.7785,0.0191,1,11,7,0,1,1,0,0,0,5.15,M5-A1G1,A2G2F
93-7-0,13554.7976,0.7,3,4.09,2,13554.7785,0.0191,1,12,7,0,0,0,0,0,0,3.31,M6,A3G3
94-6-0,13561.8068,2.8,0,100.00,1,13561.7791,0.0277,2,7,6,3,1,0,1,0,0,100.00,A3S3F+LacN1,unmodified
95-0-0,13569.7972,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96-3-0,13571.7947,0.3,0,69.45,2,13571.7734,0.0214,2,11,7,0,1,2,1,0,0,38.49,M5-A1G1,A2G2F
96-4-0,13571.7947,0.3,1,30.55,2,13571.7734,0.0214,2,12,7,0,0,1,1,0,0,24.76,M6,A3G3
97-9-0,13579.8203,0.5,0,74.71,2,13579.7897,0.0306,2,9,8,1,0,1,1,0,0,56.46,A2G1,A2S1G1
97-9-1,13579.8203,0.5,1,15.42,2,13579.7897,0.0306,2,9,8,1,0,1,1,0,0,10.92,A2G2,A2S1G0
97-5-0,13579.8203,0.5,2,9.17,2,13579.8101,0.0102,1,10,8,0,1,0,0,0,0,6.72,A2G2F,A2G2
97-8-0,13579.8203,0.5,3,0.70,1,13579.7897,0.0306,2,8,8,1,1,2,1,0,0,0.70,A2G0F,A2S1G1
98-3-0,13587.7884,0.3,0,100.00,2,13587.7683,0.0201,1,12,7,0,0,2,1,0,0,81.06,M6,A3G3
99-1-0,13596.7888,0.4,0,100.00,2,13596.8050,-0.0162,-1,10,8,0,1,1,1,0,0,73.26,A2G2F,A2G2
100-8-0,13609.8228,1.9,0,98.19,2,13609.7843,0.0385,3,10,6,2,0,0,0,0,0,93.99,M5,A2S2
100-8-1,13609.8228,1.9,1,1.81,2,13609.7843,0.0385,3,10,6,2,0,0,0,0,0,0.93,A1S1,M5-A1S1
101-0-0,13616.8064,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102-0-0,13624.8388,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103-0-0,13630.7977,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104-0-0,13631.7899,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105-2-0,13637.7972,0.6,0,99.15,2,13637.8316,-0.0344,-3,10,9,0,0,0,1,0,0,68.87,A2G1,A3G3
105-1-0,13637.7972,0.6,1,0.85,1,13637.8316,-0.0344,-3,9,9,0,1,1,1,0,0,0.85,A2G0F,A3G3
106-9-0,13642.8103,0.0,0,92.09,2,13642.7741,0.0362,3,10,6,2,0,2,1,0,0,88.15,M5,A2S2
106-5-0,13642.8103,0.0,1,5.55,2,13642.7945,0.0158,1,12,6,1,0,0,0,0,0,3.14,M7,A2S1G1
106-9-1,13642.8103,0.0,2,1.69,2,13642.7741,0.0362,3,10,6,2,0,2,1,0,0,0.88,A1S1,M5-A1S1
106-5-1,13642.8103,0.0,3,0.54,2,13642.7945,0.0158,1,12,6,1,0,0,0,0,0,0.43,M5-A1G1,M5-A1S1
106-4-0,13642.8103,0.0,4,0.13,2,13642.7945,0.0158,1,11,6,1,1,1,0,0,0,0.07,M6,A2S1G1F
107-8-0,13650.8391,3.5,0,55.27,2,13650.8108,0.0282,2,9,7,2,0,0,0,0,0,50.77,A1G1,A2S2
107-8-1,13650.8391,3.5,1,44.73,2,13650.8108,0.0282,2,9,7,2,0,0,0,0,0,34.99,A1S1,A2S1G1
108-8-0,13658.8192,0.4,0,89.27,2,13658.7894,0.0298,2,12,6,1,0,1,0,0,0,50.47,M7,A2S1G1
108-8-1,13658.8192,0.4,1,8.63,2,13658.7894,0.0298,2,12,6,1,0,1,0,0,0,6.87,M5-A1G1,M5-A1S1
108-7-0,13658.8192,0.4,2,2.10,2,13658.7894,0.0298,2,11,6,1,1,2,0,0,0,1.14,M6,A2S1G1F
109-7-0,13666.8750,0.3,0,55.27,2,13666.8058,0.0692,5,9,7,2,0,1,0,0,0,50.77,A1G1,A2S2
109-7-1,13666.8750,0.3,1,44.73,2,13666.8058,0.0692,5,9,7,2,0,1,0,0,0,34.99,A1S1,A2S1G1
110-0-0,13667.8121,0.1,0,55.27,2,13667.8058,0.0064,0,9,7,2,0,1,1,0,0,50.77,A1G1,A2S2
110-0-1,13667.8121,0.1,1,44.73,2,13667.8058,0.0064,0,9,7,2,0,1,1,0,0,34.99,A1S1,A2S1G1
111-0-0,13673.8330,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112-11-0,13675.8553,0.3,0,91.18,2,13675.7844,0.0710,5,12,6,1,0,2,1,0,0,51.56,M7,A2S1G1
112-11-1,13675.8553,0.3,1,8.82,2,13675.7844,0.0710,5,12,6,1,0,2,1,0,0,7.02,M5-A1G1,M5-A1S1
113-9-0,13683.8431,1.6,0,43.04,2,13683.8007,0.0425,3,9,7,2,0,2,1,0,0,39.54,A1G1,A2S2
113-9-1,13683.8431,1.6,1,34.84,2,13683.8007,0.0425,3,9,7,2,0,2,1,0,0,27.25,A1S1,A2S1G1
113-8-0,13683.8431,1.6,2,14.32,2,13683.8211,0.0221,2,11,7,1,0,0,0,0,0,13.31,M5-A1G1,A2S1G1
113-8-1,13683.8431,1.6,3,6.13,2,13683.8211,0.0221,2,11,7,1,0,0,0,0,0,3.27,A2G2,M5-A1S1
113-8-2,13683.8431,1.6,4,1.67,2,13683.8211,0.0221,2,11,7,1,0,0,0,0,0,1.56,M5,A3S1G2
114-3-0,13693.8384,0.6,0,100.00,1,13693.8578,-0.0194,-1,8,8,1,2,0,1,0,0,100.00,A2G0F,A2S1G1F
115-0-0,13695.8264,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116-0-0,13702.8696,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117-4-0,13705.8363,0.0,0,100.00,1,13705.8167,0.0196,1,7,6,4,0,0,0,0,0,100.00,unmodified,A4S4
118-3-0,13709.8127,0.2,0,65.73,2,13709.8527,-0.0400,-3,9,8,1,1,0,1,0,0,40.26,A2S1G1F,A2G1
118-3-1,13709.8127,0.2,1,33.96,2,13709.8527,-0.0400,-3,9,8,1,1,0,1,0,0,29.52,A2G2F,A2S1G0
